Breed	Variety	Breed Group (KC)	Import Status (KC)	Source (KC)
Spanish Water Dog		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/spanish-water-dog/
St. Bernard		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/st-bernard/
Staffordshire Bull Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/staffordshire-bull-terrier/
Swedish Lapphund		Pastoral	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/swedish-lapphund-imp/
Swedish Vallhund		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/swedish-vallhund/
Tibetan Mastiff		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/tibetan-mastiff/
Tibetan Spaniel		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/tibetan-spaniel/
Tibetan Terrier		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/tibetan-terrier/
Turkish Kangal Dog		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/turkish-kangal-dog/
Weimaraner		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/weimaraner/
Welsh Corgi	Cardigan	Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/welsh-corgi-cardigan/
Welsh Corgi	Pembroke	Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/welsh-corgi-pembroke/
Welsh Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/welsh-terrier/
West Highland White Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/west-highland-white-terrier/
Whippet		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/whippet/
White Swiss Shepherd Dog		Pastoral	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/white-swiss-shepherd-dog-imp/
Xoloitzcuintle	Mex Hairless Int	Utility	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/xoloitzcuintle-mex-hairless-int-imp/
Xoloitzcuintle	Mex Hairless Min	Utility	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/xoloitzcuintle-mex-hairless-min-imp/
